os,cpu,gpu,ram,kernel,driver,cpuscheduler
Steam Runtime 4,AMD Ryzen 5 5600G with Radeon Graphics,AMD Radeon RX 5500 XT (RADV NAVI14),16211312,7.0.10-1-cachyos,,performance
fps,frametime,cpu_load,cpu_power,gpu_load,cpu_temp,gpu_temp,gpu_core_clock,gpu_mem_clock,gpu_vram_used,gpu_power,ram_used,swap_used,process_rss,cpu_mhz,elapsed
60.1579,16.6229,27.1987,0,82,57,73,1728,875,3.96367,90,5.68579,0,3.48858,4416,211287453994
59.9743,16.6738,28.6195,0,87,57,73,1837,875,3.96367,96,5.68605,0,3.48874,4441,212287536643
60.0725,16.6465,32.137,0,94,57,74,1847,875,3.96383,101,5.70773,0,3.47338,4341,213287635402
59.9374,16.6841,32.437,0,98,57,74,1844,875,3.95554,106,5.70168,0,3.47033,4366,214287721948
60.2369,16.6011,33.2773,0,97,57,74,1846,875,3.9554,105,5.67787,0,3.47829,4383,215287816490
60.1164,16.6344,31.0744,0,97,57,74,1846,875,3.95562,106,5.67854,0,3.47883,4358,216287916111
59.8045,16.7211,30.7438,0,98,57,74,1848,875,3.95562,105,5.67786,0,3.47766,4390,217287997858
60.187,16.6149,31.3312,0,98,57,74,1849,875,3.95577,105,5.67706,0,3.47938,4389,218288173932
59.9022,16.6939,30.7033,0,97,57,75,1847,875,3.95577,105,5.7086,0,3.48084,4372,219288265268
60.4281,16.5486,32.9451,0,97,57,75,1849,875,3.95592,106,5.70859,0,3.48099,4365,220288350001
60.2252,16.6043,32.3873,0,98,57,75,1848,875,3.95584,107,5.71821,0,3.48675,4392,221288475250
60.0229,16.6603,34.8315,0,97,57,74,1850,875,3.95584,102,5.67757,0,3.47933,4341,222288556376
60.1227,16.6326,34.4426,0,98,57,75,1848,875,3.956,104,5.6766,0,3.4796,4391,223288632773
59.7773,16.7287,33.6163,0,98,57,75,1847,875,3.95592,103,5.70523,0,3.47628,4392,224288707908
60.3704,16.5644,33.5593,0,99,57,75,1848,875,3.95592,104,5.70457,0,3.4791,4341,225288789135
59.5971,16.7794,34.2857,0,98,57,75,1848,875,3.95592,103,5.67347,0,3.4775,4391,226288873066
